,GR1,GR2,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
71,0.0,0.0,0.0,0.0,0.5,1.7,4.5,3.6,16.6,19.8,9.2,44.1,51.3,21.2,19.7,2.1,0.566,CH,1,CH
72,0.0,0.0,0.0,0.0,0.0,0.2,2.9,4.8,23.4,19.9,8.3,40.5,54.6,21.6,20.3,2.06,0.602,CH,1,CH
73,0.0,0.0,0.4,0.7,1.1,5.5,13.3,6.0,23.4,20.6,9.9,19.1,42.0,21.3,21.7,2.01,0.642,(CL)s,1,CH
74,0.0,1.5,10.9,23.8,20.6,22.7,6.1,1.5,2.0,4.0,2.4,4.5,0.0,0.0,17.6,2.1,0.497,SM,7,SM
75,0.0,0.0,0.8,11.9,33.5,27.9,7.5,1.9,4.2,4.3,3.1,4.9,0.0,0.0,15.3,2.13,0.443,SM,0,SM
76,0.0,0.0,0.4,0.6,36.3,37.2,8.4,2.0,4.8,3.3,2.5,4.5,0.0,0.0,16.2,2.11,0.467,SM,0,SM
77,0.0,0.0,0.0,4.0,35.6,26.9,15.1,2.6,5.8,2.8,2.3,4.9,0.0,0.0,16.6,2.1,0.483,SM,0,SM
78,0.0,0.0,0.0,0.0,6.1,28.7,38.0,4.3,7.4,4.9,3.6,7.0,0.0,0.0,17.0,2.1,0.492,SM,6,SM
79,0.0,0.0,0.0,6.5,25.8,32.8,16.2,2.5,4.9,4.3,2.6,4.4,0.0,0.0,17.4,2.09,0.5,SM,0,SM
80,0.0,0.0,3.4,31.5,42.2,5.1,5.1,1.5,2.4,3.3,2.5,3.0,0.0,0.0,16.1,2.12,0.459,SP-SM,3,SM
81,0.0,0.0,1.8,4.8,8.8,26.2,37.8,2.6,6.0,2.7,3.1,6.2,0.0,0.0,19.3,2.04,0.561,SM,6,SM
82,0.0,2.6,12.1,27.6,19.2,11.8,11.2,2.1,3.8,2.6,2.5,4.5,0.0,0.0,16.2,2.12,0.467,SM,7,SM
83,0.0,0.0,0.0,0.9,16.9,27.2,30.9,4.6,7.6,4.0,2.8,5.1,0.0,0.0,18.1,2.05,0.534,SM,6,SM
84,0.0,0.0,1.3,15.2,32.5,23.4,7.4,2.3,4.5,5.1,3.2,5.1,0.0,0.0,16.8,2.09,0.492,SM,0,SM
