,GR1,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,LI,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
45,0,0,3.2,19,29.3,26.6,3.1,7.3,4.5,2.7,4.3,0,0,0,19,2.06,0.543,SM,1,SM
46,0,0,1.2,28.2,14.8,10.8,4.3,17.7,9.7,4.6,8.7,0,0,0,18.8,2.08,0.531,SM,1,SM
47,0.3,4.1,21.7,28.5,24.1,8,1.6,4.1,3.4,1.6,2.6,0,0,0,16.1,2.11,0.467,SP-SM,1,SM
48,0,0,0,0.8,0.3,2.9,9.5,55.8,12.7,4,14,43.6,33.8,0.727287689,40.6,1.75,1.161,ML,6,ML
49,0,0,0,0,0,2,3.6,31.8,16.4,10.5,35.7,71.9,37.2,0.971181556,70.9,1.53,1.967,MH,0,MH
50,0,0,0,0,0,1.1,2.3,24.9,24.7,11.7,35.3,77.4,37.6,0.907035176,73.7,1.52,2.034,MH,0,MH
51,0,0,0,0,0.9,0.9,1.7,20.3,24.3,11.9,40,90.3,42,0.973084886,89,1.48,2.436,MH,0,MH
52,0,0,0,0,0.8,4.2,3.1,18.6,18.2,9.8,45.3,72.6,36.6,0.980555556,71.9,1.54,1.989,MH,0,MH
53,0,0,0,0,0,0.6,0.6,13.8,24.4,14.5,46.1,86.7,43.7,0.804651163,78.3,1.52,2.153,MH,3,MH
54,0,0,0,0,0,0,0.3,11.3,26.2,13.1,49.1,84.9,40.6,0.776523702,75,1.53,2.057,MH,3,MH
55,0,0,0,0,0,0,0.3,13.4,24.3,13.2,48.8,85.1,41.8,0.655889145,70.2,1.55,1.954,MH,3,MH
56,0,0,0,0,0,0,0.3,17.9,29.7,15.5,36.6,82.1,43.5,0.712435233,71,1.54,1.967,MH,3,MH
57,0,0,0,0,0,0,0.3,18.5,23.3,13.4,44.5,84.8,45.1,0.614609572,69.5,1.56,1.913,MH,3,MH
58,0,0,0,0,0,0.8,1.1,19.3,23.3,11.4,44.1,82,46.3,0.666666667,70.1,1.55,1.945,MH,3,MH
59,0,0,2.5,5.8,17.3,31.6,9.4,15.2,6.1,4.2,7.9,0,0,0,23.9,1.98,0.675,SM,5,SM
60,0,0,0,0.9,17.6,60.3,2.9,6,4.9,2.8,4.6,0,0,0,17.5,2.08,0.508,SM,5,SM
61,0,0,0,1.8,23.2,54.2,3.9,5.7,3.7,2.3,5.2,0,0,0,19,2.08,0.526,SM,5,SM
62,0,0,0,0,0,0,0.5,15.4,37.6,16.8,29.7,52.6,26.9,-0.097276265,24.4,2.01,0.691,CH,7,CH
63,0,0,0,0,0.4,1.3,2.8,31.9,25.1,9.6,28.9,51.3,26.2,0.171314741,30.5,1.88,0.84,CH,7,CH
64,0,1.1,4.3,27.5,27.8,16.7,3.2,4.6,5.4,4,5.4,0,0,0,16.2,2.1,0.475,SM,1,SM
65,0,0,2.4,33.2,33,10.4,1.9,5.5,5.1,2.8,5.7,0,0,0,15.8,2.12,0.459,SM,1,SM
66,0,0,0,0,0,0.7,2.2,54.8,17.3,7.2,17.8,47.2,28.4,1.127659574,49.6,1.68,1.393,ML,6,ML
67,0,0,0,0,0,1.8,5.2,35.1,17.1,5.9,34.9,66.9,34.1,1.076219512,69.4,1.52,1.967,MH,0,MH
